num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
num 0.000000
den 0.000000
ret 0.000000
