0 0 -5.000000 211 0.000000 0.000000
0 1 -4.800000 183 0.000000 0.000000
0 2 -4.600000 204 0.000000 0.000000
0 3 -4.400000 206 0.000000 0.000000
0 4 -4.200000 210 0.000000 0.000000
0 5 -4.000000 207 0.000000 0.000000
0 6 -3.800000 201 0.000000 0.000000
0 7 -3.600000 218 0.000000 0.000000
0 8 -3.400000 203 0.000000 0.000000
0 9 -3.200000 203 0.000007 0.000000
0 10 -3.000000 183 0.000183 0.000000
0 11 -2.800000 210 0.003007 0.000013
0 12 -2.600000 194 0.027381 0.001097
0 13 -2.400000 187 0.214465 0.057828
0 14 -2.200000 180 0.934333 0.995794
0 15 -2.000000 193 2.735214 7.966461
0 16 -1.800000 195 5.207324 27.546362
0 17 -1.600000 212 6.517390 42.488912
0 18 -1.400000 207 5.196875 27.495489
0 19 -1.200000 205 2.728256 7.913901
0 20 -1.000000 200 0.957256 1.054444
0 21 -0.800000 193 0.215468 0.058522
0 22 -0.600000 199 0.030781 0.001277
0 23 -0.400000 227 0.002634 0.000011
0 24 -0.200000 197 0.000193 0.000000
0 25 0.000000 179 0.000173 0.000000
0 26 0.200000 208 0.002836 0.000012
0 27 0.400000 197 0.033109 0.001454
0 28 0.600000 214 0.215793 0.058834
0 29 0.800000 190 0.932412 0.997118
0 30 1.000000 226 2.700231 7.761325
0 31 1.200000 201 5.267694 28.161298
0 32 1.400000 183 6.539902 42.780644
0 33 1.600000 220 5.296068 28.444809
0 34 1.800000 202 2.777417 8.173670
0 35 2.000000 203 0.902001 0.929636
0 36 2.200000 198 0.220047 0.058759
0 37 2.400000 207 0.032714 0.001441
0 38 2.600000 198 0.002910 0.000012
0 39 2.800000 197 0.000156 0.000000
0 40 3.000000 211 0.000007 0.000000
0 41 3.200000 205 0.000000 0.000000
0 42 3.400000 211 0.000000 0.000000
0 43 3.600000 187 0.000000 0.000000
0 44 3.800000 203 0.000000 0.000000
0 45 4.000000 191 0.000000 0.000000
0 46 4.200000 179 0.000000 0.000000
0 47 4.400000 195 0.000000 0.000000
0 48 4.600000 184 0.000000 0.000000
0 49 4.800000 183 0.000000 0.000000
1 0 -5.000000 193 0.003315 0.000186
1 1 -2.579365 192 0.143519 0.032980
