Integral: 0.999776	 observed error: 0.002731	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999736	 observed error: 0.002732	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.996467	 observed error: 0.002728	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.002577	 observed error: 0.002735	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000028	 observed error: 0.002733	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.001111	 observed error: 0.002735	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999284	 observed error: 0.002730	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.998913	 observed error: 0.002730	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.996762	 observed error: 0.002726	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999279	 observed error: 0.002728	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999400	 observed error: 0.002731	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.998391	 observed error: 0.002728	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999352	 observed error: 0.002732	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.995917	 observed error: 0.002726	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.001244	 observed error: 0.002735	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.996947	 observed error: 0.002728	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.001190	 observed error: 0.002733	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999764	 observed error: 0.002731	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000579	 observed error: 0.002734	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000958	 observed error: 0.002735	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.007250	 observed error: 0.002741	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999235	 observed error: 0.002731	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999273	 observed error: 0.002733	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.997228	 observed error: 0.002727	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000017	 observed error: 0.002732	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.997943	 observed error: 0.002729	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.002357	 observed error: 0.002733	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.999978	 observed error: 0.002734	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000111	 observed error: 0.002730	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.000576	 observed error: 0.002733	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.997882	 observed error: 0.002725	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.001603	 observed error: 0.002735	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.998079	 observed error: 0.002729	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.996068	 observed error: 0.002726	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 0.997171	 observed error: 0.002729	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.002106	 observed error: 0.002734	 CLT error: 0.000673 	Ntrials: 1000000
Integral: 1.002656	 observed error: 0.002734	 CLT error: 0.000673 	Ntrials: 1000000
