Integral: 0.999662	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.002024	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999834	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999554	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999566	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000179	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997557	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999457	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000247	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998287	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999947	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999871	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000843	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001233	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000045	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998258	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000164	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000575	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001422	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001307	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999726	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999566	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000161	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000058	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000267	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999444	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000701	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000342	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001098	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999058	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998917	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001348	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997209	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999926	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999599	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999675	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000206	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000189	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000581	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001153	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999573	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998289	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000264	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998542	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000202	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000692	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001447	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000676	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999527	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999421	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999858	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999461	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999315	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000354	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997820	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001141	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999948	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999922	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000013	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001580	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000565	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000165	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000321	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999697	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999951	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999460	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998704	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998554	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000310	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000729	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999462	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999620	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999631	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999308	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000561	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999166	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998432	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000152	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000310	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000494	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000379	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999618	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000745	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001393	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000703	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999304	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000940	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001287	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999688	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999229	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999336	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997903	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000833	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001187	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.996870	 observed error: 0.000862	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000051	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999272	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998550	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000494	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999906	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000800	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998617	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000229	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000155	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000603	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001797	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000275	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999914	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000127	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999294	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998766	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999135	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001274	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998779	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000652	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001431	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999510	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000835	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
